ds,yhat
2020-01-01,-1241.3895599953532
2020-01-02,1334.053101498609
2020-01-03,2093.8914898576118
2020-01-04,-95.64961167057254
2020-01-05,573.457060998388
2020-01-06,493.91980806921174
2020-01-07,2856.0874319898803
2020-01-08,2096.31735998967
2020-01-09,4789.3714892225635
2020-01-10,5636.278653479892
2020-01-11,3501.2737525449684
2020-01-12,4190.949814240415
2020-01-13,4097.157865956117
2020-01-14,6409.975783445723
2020-01-15,5566.074068686244
2020-01-16,8141.098088376977
2020-01-17,8837.506372033968
2020-01-18,6521.475915486118
2020-01-19,7002.011835622322
2020-01-20,6673.7974622701
2020-01-21,8730.107340858996
2020-01-22,7611.11245942939
2020-01-23,9896.19861300642
2020-01-24,10291.738868524124
2020-01-25,7667.932429764509
2020-01-26,7837.84828925875
2020-01-27,7200.211274438843
2020-01-28,8952.253582254376
2020-01-29,7537.962183148185
2020-01-30,9540.343695718453
2020-01-31,9669.148274395026
2020-02-01,6797.665202962205
2020-02-02,6741.729068261326
2020-02-03,5902.473896585126
2020-02-04,7479.158785207383
2020-02-05,5917.395167366016
2020-02-06,7801.397223403673
2020-02-07,7841.696792759738
2020-02-08,4911.935251132794
2020-02-09,4827.870975717233
2020-02-10,3990.1395225629735
2020-02-11,5597.0897974911795
2020-02-12,4093.02612472108
2020-02-13,6060.477517083601
2020-02-14,6207.935321088775
2020-02-15,3406.6715478529327
2020-02-16,3469.7763821505982
2020-02-17,2794.9518947714596
2020-02-18,4577.3850529868
2020-02-19,3258.029969540646
2020-02-20,5415.920399685191
2020-02-21,5755.953557351826
2020-02-22,3145.757311792271
2020-02-23,3394.778953914343
2020-02-24,2897.132154996811
2020-02-25,4844.524808679724
2020-02-26,3674.5969608434066
2020-02-27,5963.28930275942
2020-02-28,6412.682430021445
2020-03-01,4196.339374180497
2020-03-02,3730.3861929935374
2020-03-03,5680.566349308228
2020-03-04,4483.83156345399
2020-03-05,6715.9770383973955
2020-03-06,7079.503936219335
2020-03-07,4440.554900381012
2020-03-08,4608.058925626641
2020-03-09,3976.620381566641
2020-03-10,5739.4731894524175
